timestamp,weather,temperature,wind_chill,soil_temperature,dew_point,surface_temperature,wind.speed,wind.gusts,wind.angle,wind.dir,cloud_cover.total,cloud_cover.low,cloud_cover.middle,cloud_cover.high,pressure,precipitation.total,precipitation.type,cape,evaporation,irradiance,ozone,humidity,openmeteo_temperature_2m,openmeteo_cloud_cover,openmeteo_wind_speed_10m,openmeteo_wind_direction_10m,openmeteo_relative_humidity_2m,openmeteo_surface_pressure,openmeteo_shortwave_radiation,openmeteo_dew_point_2m,openmeteo_precipitation,openmeteo_rain,openmeteo_snowfall,openmeteo_cloud_cover_low,openmeteo_cloud_cover_mid,openmeteo_cloud_cover_high,openmeteo_direct_normal_irradiance,openmeteo_direct_radiation,openmeteo_diffuse_radiation,openmeteo_global_tilted_irradiance,openmeteo_sunshine_duration,openmeteo_wind_gusts_10m,openmeteo_et0_fao_evapotranspiration,openmeteo_snow_depth,openmeteo_vapour_pressure_deficit,openmeteo_wind_speed_100m,openmeteo_wind_direction_100m,openmeteo_pm10,openmeteo_pm2_5,openmeteo_nitrogen_dioxide,openmeteo_sulphur_dioxide,openmeteo_ozone,openmeteo_dust,int_sol_irr,wind_vel,tmp_amb,tmp_module,wind_u,wind_v,sin_hour,cos_hour,sin_day_of_year,cos_day_of_year,irr_corr,irr_adjusted,energy,solar_zenith,solar_azimuth,solar_elevation,time_to_noon,etr_normal,etr_horizontal,accumulated_precipitation_rain_path,air_temperature_path,atmospheric_pressure_path,clouds_path,convective_precipitation_path,precipitation_intensity_path,Relative_humidity_path,WNDUV_path,WS10UV_path
2020-09-14 00:00:00+00:00,partly_sunny,14.9,15.6,14.3,12.6,13.0,1.1,3.1,107,ESE,45,0,0,45,1029,0.0,none,0,-0.01,0.0,272,86,15.3,15,1.88,115,77,960.2,0.0,11.2,0.0,0.0,0.0,0,0,59,0.0,0.0,0.0,0.0,0.0,3.2,0.01,0.0,0.4,4.24,135,14.1,11.2,2.8,0.9,66.0,1.0,0.0,0.0,11.4,11.0,-0.3216088751950103,1.051935231559339,0.0,1.0,-0.9634705485641486,-0.2678143051621748,-0.4583110662162802,0.46,0.0,125.68284181745022,20.166300305355666,-35.68284181745023,10.911306353706667,1354.0265829646924,0.0,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_00.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_00.png
2020-09-14 01:00:00+00:00,partly_sunny,14.7,15.2,14.1,12.5,12.8,1.3,3.3,108,ESE,45,0,0,45,1029,0.0,none,0,-0.01,0.0,272,86,15.7,70,1.99,108,74,960.4,0.0,11.1,0.0,0.0,0.0,0,0,70,0.0,0.0,0.0,0.0,0.0,3.3,0.01,0.0,0.46,4.24,133,13.8,10.0,3.1,1.0,81.0,1.0,0.0,0.0,10.4,10.1,-0.4017220926874315,1.2363734711836998,0.2588190451025207,0.9659258262890684,-0.9634705485641486,-0.2678143051621748,-0.5032915469833927,0.5,0.0,120.97809773372626,37.21604425614965,-30.97809773372626,9.911306353706667,1354.0265829646924,0.0,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_01.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_01.png
2020-09-14 02:00:00+00:00,partly_sunny,14.4,14.6,13.7,12.4,12.7,1.6,3.6,106,ESE,37,0,0,37,1029,0.0,none,0,-0.01,0.0,272,87,15.4,69,2.02,110,76,960.4,0.0,11.2,0.0,0.0,0.0,0,0,69,0.0,0.0,0.0,0.0,0.0,3.5,0.01,0.0,0.42,4.24,135,12.7,9.8,3.2,1.0,74.0,1.0,0.0,0.1,9.8,9.5,-0.4410197693071985,1.5380187135013104,0.4999999999999999,0.8660254037844387,-0.9634705485641486,-0.2678143051621748,-0.3001091095818147,0.3,0.0,114.0831040410592,52.23695660803236,-24.083104041059183,8.911306353706665,1354.0265829646924,0.0,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_02.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_02.png
2020-09-14 03:00:00+00:00,partly_sunny,14.3,14.2,13.5,12.4,12.7,1.9,3.8,104,ESE,26,0,0,26,1029,0.0,none,0,-0.01,0.0,272,88,15.2,27,2.15,112,78,960.3,0.0,11.5,0.0,0.0,0.0,0,0,27,0.0,0.0,0.0,0.0,0.0,3.7,0.01,0.0,0.38,4.39,133,11.5,9.8,3.3,1.1,73.0,1.0,0.0,0.5,11.6,11.1,-0.4596516016393687,1.843561879924393,0.7071067811865476,0.7071067811865476,-0.9634705485641486,-0.2678143051621748,-0.3666539455401142,0.37,0.0,105.70203023804316,65.45922208756207,-15.702030238043168,7.911306353706666,1354.0265829646924,0.0,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_03.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_03.png
2020-09-14 04:00:00+00:00,sunny,14.1,14.0,13.3,12.3,12.6,1.9,4.0,103,ESE,0,0,0,0,1028,0.0,none,0,-0.01,3.5,272,88,15.0,0,2.34,110,81,960.2,0.0,11.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.01,0.0,0.32,4.7,128,12.9,10.5,3.1,1.2,74.0,1.0,5.6,0.0,10.3,10.0,-0.4274070032533435,1.8513031230919468,0.8660254037844386,0.5000000000000001,-0.9634705485641486,-0.2678143051621748,-0.3120887652118769,3.81,4.0,96.4198348513762,77.45375644362628,-6.419834851376194,6.911306353706666,1354.0265829646924,0.0,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_04.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_04.png
2020-09-14 05:00:00+00:00,sunny,13.9,13.6,12.9,12.1,12.9,2.1,4.6,104,ESE,0,0,0,0,1029,0.0,none,0,0.02,84.6,272,89,15.0,0,2.57,103,83,960.1,4.0,12.2,0.0,0.0,0.0,0,0,0,15.3,1.0,3.0,4.0,0.0,4.6,0.03,0.0,0.29,5.16,122,13.6,12.3,3.7,1.1,70.0,1.0,73.4,0.1,12.1,13.1,-0.5080359807593023,2.0376210251795928,0.9659258262890684,0.2588190451025207,-0.9634705485641486,-0.2678143051621748,9.458740210000162,75.14,113.0,86.70014217851903,88.86969646310496,3.299857821480976,5.911306353706666,1354.0265829646924,77.93991507206464,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_05.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_05.png
2020-09-14 06:00:00+00:00,sunny,15.2,15.0,13.4,12.8,15.9,2.4,5.1,105,ESE,8,0,0,8,1029,0.0,none,0,0.1,232.5,272,85,17.0,0,2.66,110,79,960.8,92.0,13.3,0.0,0.0,0.0,0,0,0,379.9,57.0,35.0,92.0,3286.25,5.2,0.06,0.0,0.4,5.33,120,16.3,12.0,4.8,1.3,60.0,1.0,264.3,0.1,17.0,22.2,-0.62116570824605,2.318221983093764,1.0,6.123233995736766e-17,-0.9634705485641486,-0.2678143051621748,-67.59807577685794,300.1,371.5,76.94262739870788,100.36771245521668,13.057372601292112,4.911306353706666,1354.0265829646924,305.91068674151944,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_06.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_06.png
2020-09-14 07:00:00+00:00,mostly_sunny,17.6,18.0,14.7,13.6,19.6,2.3,5.9,107,ESE,17,0,0,17,1029,0.0,none,0,0.22,385.8,272,77,19.0,30,2.55,116,73,961.5,247.0,14.1,0.0,0.0,0.0,0,0,30,611.6,187.0,60.0,247.0,3600.0,5.8,0.14,0.0,0.59,4.3,121,15.6,12.1,4.4,1.5,67.0,1.0,489.6,1.9,21.8,33.9,-0.6724549208622943,2.1995009387149818,0.9659258262890684,-0.2588190451025206,-0.9634705485641486,-0.2678143051621748,-149.77620018801588,535.58,626.0,67.55552632913616,112.64577244710608,22.44447367086384,3.911306353706667,1354.0265829646924,516.9510038473727,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_07.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_07.png
2020-09-14 08:00:00+00:00,partly_sunny,19.8,20.4,16.5,14.3,22.6,2.6,7.4,112,ESE,22,0,0,22,1029,0.0,none,0,0.36,516.7,272,70,20.7,35,2.95,118,67,962.0,402.0,14.4,0.0,0.0,0.0,0,0,35,727.4,328.0,74.0,402.0,3600.0,6.9,0.25,0.0,0.79,4.17,120,16.0,11.8,3.2,1.5,74.0,1.0,677.3,2.5,23.7,40.2,-0.9739771428813714,2.410678021873647,0.8660254037844387,-0.4999999999999998,-0.9634705485641486,-0.2678143051621748,-181.62568806494005,698.33,816.5,59.03577021311564,126.46819883964542,30.96422978688436,2.911306353706667,1354.0265829646924,696.6505398476232,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_08.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_08.png
2020-09-14 09:00:00+00:00,partly_sunny,21.8,22.6,18.6,14.6,24.8,3.3,8.5,114,ESE,31,0,0,31,1030,0.0,none,0,0.49,609.9,272,63,22.0,36,3.69,123,60,962.5,534.0,13.8,0.0,0.0,0.0,0,0,36,793.7,451.0,83.0,534.0,3600.0,8.6,0.35,0.0,1.07,5.19,124,17.6,12.1,2.7,1.4,85.0,1.0,808.0,4.3,25.5,43.7,-1.3422309221501407,3.0147000102205825,0.7071067811865476,-0.7071067811865475,-0.9634705485641486,-0.2678143051621748,-192.23993435221743,802.14,943.0,52.04760930334948,142.58037399293602,37.952390696650525,1.9113063537066668,1354.0265829646924,832.7351217993862,gs://my-predictions-bucket/fve_aba/maps/one_hour/accumulated_precipitation_rain/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/air_temperature/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/atmospheric_pressure/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/clouds/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/convective_precipitation/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/precipitation_intensity/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/Relative_humidity/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WNDUV/20200914_09.png,gs://my-predictions-bucket/fve_aba/maps/one_hour/WS10UV/20200914_09.png
